"destination_name","starting_city","ending_city","route_length","route_points","order"
"Atlanta - Las Vegas","Denver","Salt Lake City",3,4,5
"Atlanta - Las Vegas","Salt Lake City","Las Vegas",3,4,6
"Atlanta - Little Rock","Atlanta","Nashville",1,1,1
"Atlanta - Little Rock","Nashville","Little Rock",3,4,2
"Atlanta - Los Angeles","Atlanta","Nashville",1,1,1
"Atlanta - Los Angeles","Nashville","Little Rock",3,4,2
"Atlanta - Los Angeles","Little Rock","Oklahoma City",2,2,3
"Atlanta - Los Angeles","Oklahoma City","Santa Fe",3,4,4
"Atlanta - Los Angeles","Santa Fe","Phoenix",3,4,5
"Atlanta - Los Angeles","Phoenix","Los Angeles",3,4,6
"Atlanta - Miami","Atlanta","Miami",5,10,1
"Atlanta - Montreal","Atlanta","Raleigh",2,2,1
"Atlanta - Montreal","Raleigh","Pittsburgh",2,2,2
"Atlanta - Montreal","Pittsburgh","New York",2,2,3
"Atlanta - Montreal","New York","Montreal",3,4,4
"Atlanta - Nashville","Atlanta","Nashville",1,1,1
"Atlanta - New Orleans","Atlanta","New Orleans",4,7,1
"Atlanta - New York","Atlanta","Raleigh",2,2,1
"Atlanta - New York","Raleigh","Pittsburgh",2,2,2
"Atlanta - New York","Pittsburgh","New York",2,2,3
"Atlanta - Oklahoma City","Atlanta","Nashville",1,1,1
"Atlanta - Oklahoma City","Nashville","Little Rock",3,4,2
"Atlanta - Oklahoma City","Little Rock","Oklahoma City",2,2,3
"Atlanta - Omaha","Atlanta","Nashville",1,1,1
"Atlanta - Omaha","Nashville","Saint Louis",2,2,2
"Atlanta - Omaha","Saint Louis","Kansas City",2,2,3
"Atlanta - Omaha","Kansas City","Omaha",1,1,4
"Atlanta - Phoenix","Atlanta","Nashville",1,1,1
"Atlanta - Phoenix","Nashville","Little Rock",3,4,2
"Atlanta - Phoenix","Little Rock","Oklahoma City",2,2,3
"Atlanta - Phoenix","Oklahoma City","Santa Fe",3,4,4
"Atlanta - Phoenix","Santa Fe","Phoenix",3,4,5
"Atlanta - Pittsburgh","Atlanta","Raleigh",2,2,1
"Atlanta - Pittsburgh","Raleigh","Pittsburgh",2,2,2
"Atlanta - Portland","Atlanta","Nashville",1,1,1
"Atlanta - Portland","Nashville","Saint Louis",2,2,2
"Atlanta - Portland","Saint Louis","Kansas City",2,2,3
"Atlanta - Portland","Kansas City","Omaha",1,1,4
"Atlanta - Portland","Omaha","Helena",5,10,5
"Atlanta - Portland","Helena","Seattle",6,15,6
"Atlanta - Portland","Seattle","Portland",1,1,7
"Atlanta - Raleigh","Atlanta","Raleigh",2,2,1
"Atlanta - Saint Louis","Atlanta","Nashville",1,1,1
"Atlanta - Saint Louis","Nashville","Saint Louis",2,2,2
"Atlanta - Salt Lake City","Atlanta","Nashville",1,1,1
"Atlanta - Salt Lake City","Nashville","Saint Louis",2,2,2
"Atlanta - Salt Lake City","Saint Louis","Kansas City",2,2,3
"Atlanta - Salt Lake City","Kansas City","Denver",4,7,4
"Atlanta - Salt Lake City","Denver","Salt Lake City",3,4,5
"Atlanta - San Francisco","Atlanta","Nashville",1,1,1
"Atlanta - San Francisco","Nashville","Saint Louis",2,2,2
"Atlanta - San Francisco","Saint Louis","Kansas City",2,2,3
"Atlanta - San Francisco","Kansas City","Denver",4,7,4
"Atlanta - San Francisco","Denver","Salt Lake City",3,4,5
"Atlanta - San Francisco","Salt Lake City","San Francisco",5,10,6
"Atlanta - Santa Fe","Atlanta","Nashville",1,1,1
"Atlanta - Santa Fe","Nashville","Little Rock",3,4,2
"Atlanta - Santa Fe","Little Rock","Oklahoma City",2,2,3
"Atlanta - Santa Fe","Oklahoma City","Santa Fe",3,4,4
"Atlanta - Sault St. Marie","Atlanta","Raleigh",2,2,1
"Atlanta - Sault St. Marie","Raleigh","Pittsburgh",2,2,2
"Atlanta - Sault St. Marie","Pittsburgh","Toronto",2,2,3
"Atlanta - Sault St. Marie","Toronto","Sault St. Marie",2,2,4
"Atlanta - Seattle","Atlanta","Nashville",1,1,1
"Atlanta - Seattle","Nashville","Saint Louis",2,2,2
"Atlanta - Seattle","Saint Louis","Kansas City",2,2,3
"Atlanta - Seattle","Kansas City","Omaha",1,1,4
"Atlanta - Seattle","Omaha","Helena",5,10,5
"Atlanta - Seattle","Helena","Seattle",6,15,6
"Atlanta - Toronto","Atlanta","Raleigh",2,2,1
"Atlanta - Toronto","Raleigh","Pittsburgh",2,2,2
"Atlanta - Toronto","Pittsburgh","Toronto",2,2,3
"Atlanta - Vancouver","Atlanta","Nashville",1,1,1
"Atlanta - Vancouver","Nashville","Saint Louis",2,2,2
"Atlanta - Vancouver","Saint Louis","Kansas City",2,2,3
"Atlanta - Vancouver","Kansas City","Omaha",1,1,4
"Atlanta - Vancouver","Omaha","Helena",5,10,5
"Atlanta - Vancouver","Helena","Seattle",6,15,6
"Atlanta - Vancouver","Seattle","Vancouver",1,1,7
"Atlanta - Washington","Atlanta","Raleigh",2,2,1
"Atlanta - Washington","Raleigh","Washington",2,2,2
"Atlanta - Winnipeg","Atlanta","Nashville",1,1,1
"Atlanta - Winnipeg","Nashville","Saint Louis",2,2,2
"Atlanta - Winnipeg","Saint Louis","Chicago",2,2,3
"Atlanta - Winnipeg","Chicago","Duluth",3,4,4
"Atlanta - Winnipeg","Duluth","Winnipeg",4,7,5
"Atlanta - Boston","Atlanta","Raleigh",2,2,1
"Atlanta - Boston","Raleigh","Pittsburgh",2,2,2
"Atlanta - Boston","Pittsburgh","New York",2,2,3
"Atlanta - Boston","New York","Boston",2,2,4
"Atlanta - Calgary","Atlanta","Nashville",1,1,1
"Atlanta - Calgary","Nashville","Saint Louis",2,2,2
"Atlanta - Calgary","Saint Louis","Kansas City",2,2,3
"Atlanta - Calgary","Kansas City","Omaha",1,1,4
"Atlanta - Calgary","Omaha","Helena",5,10,5
"Atlanta - Calgary","Helena","Calgary",4,7,6
"Atlanta - Charleston","Atlanta","Charleston",2,2,1
"Atlanta - Chicago","Atlanta","Nashville",1,1,1
"Atlanta - Chicago","Nashville","Saint Louis",2,2,2
"Atlanta - Chicago","Saint Louis","Chicago",2,2,3
"Atlanta - Dallas","Atlanta","Nashville",1,1,1
"Atlanta - Dallas","Nashville","Little Rock",3,4,2
"Atlanta - Dallas","Little Rock","Dallas",2,2,3
"Atlanta - Denver","Atlanta","Nashville",1,1,1
"Atlanta - Denver","Nashville","Saint Louis",2,2,2
"Atlanta - Denver","Saint Louis","Kansas City",2,2,3
"Atlanta - Denver","Kansas City","Denver",4,7,4
"Atlanta - Duluth","Atlanta","Nashville",1,1,1
"Atlanta - Duluth","Nashville","Saint Louis",2,2,2
"Atlanta - Duluth","Saint Louis","Chicago",2,2,3
"Atlanta - Duluth","Chicago","Duluth",3,4,4
"Atlanta - El Paso","Atlanta","Nashville",1,1,1
"Atlanta - El Paso","Nashville","Little Rock",3,4,2
"Atlanta - El Paso","Little Rock","Dallas",2,2,3
"Atlanta - El Paso","Dallas","El Paso",4,7,4
"Atlanta - Helena","Atlanta","Nashville",1,1,1
"Atlanta - Helena","Nashville","Saint Louis",2,2,2
"Atlanta - Helena","Saint Louis","Kansas City",2,2,3
"Atlanta - Helena","Kansas City","Omaha",1,1,4
"Atlanta - Helena","Omaha","Helena",5,10,5
"Atlanta - Houston","Atlanta","New Orleans",4,7,1
"Atlanta - Houston","New Orleans","Houston",2,2,2
"Atlanta - Kansas City","Atlanta","Nashville",1,1,1
"Atlanta - Kansas City","Nashville","Saint Louis",2,2,2
"Atlanta - Kansas City","Saint Louis","Kansas City",2,2,3
"Atlanta - Las Vegas","Atlanta","Nashville",1,1,1
"Atlanta - Las Vegas","Nashville","Saint Louis",2,2,2
"Atlanta - Las Vegas","Saint Louis","Kansas City",2,2,3
"Atlanta - Las Vegas","Kansas City","Denver",4,7,4
"Atlanta - Las Vegas","Denver","Salt Lake City",3,4,5
"Atlanta - Las Vegas","Salt Lake City","Las Vegas",3,4,6
"Atlanta - Little Rock","Atlanta","Nashville",1,1,1
"Atlanta - Little Rock","Nashville","Little Rock",3,4,2
"Atlanta - Los Angeles","Atlanta","Nashville",1,1,1
"Atlanta - Los Angeles","Nashville","Little Rock",3,4,2
"Atlanta - Los Angeles","Little Rock","Oklahoma City",2,2,3
"Atlanta - Los Angeles","Oklahoma City","Santa Fe",3,4,4
"Atlanta - Los Angeles","Santa Fe","Phoenix",3,4,5
"Atlanta - Los Angeles","Phoenix","Los Angeles",3,4,6
"Atlanta - Miami","Atlanta","Miami",5,10,1
"Atlanta - Montreal","Atlanta","Raleigh",2,2,1
"Atlanta - Montreal","Raleigh","Pittsburgh",2,2,2
"Atlanta - Montreal","Pittsburgh","New York",2,2,3
"Atlanta - Montreal","New York","Montreal",3,4,4
"Atlanta - Nashville","Atlanta","Nashville",1,1,1
"Atlanta - New Orleans","Atlanta","New Orleans",4,7,1
"Atlanta - New York","Atlanta","Raleigh",2,2,1
"Atlanta - New York","Raleigh","Pittsburgh",2,2,2
"Atlanta - New York","Pittsburgh","New York",2,2,3
"Atlanta - Oklahoma City","Atlanta","Nashville",1,1,1
"Atlanta - Oklahoma City","Nashville","Little Rock",3,4,2
"Atlanta - Oklahoma City","Little Rock","Oklahoma City",2,2,3
"Atlanta - Omaha","Atlanta","Nashville",1,1,1
"Atlanta - Omaha","Nashville","Saint Louis",2,2,2
"Atlanta - Omaha","Saint Louis","Kansas City",2,2,3
"Atlanta - Omaha","Kansas City","Omaha",1,1,4
"Atlanta - Phoenix","Atlanta","Nashville",1,1,1
"Atlanta - Phoenix","Nashville","Little Rock",3,4,2
"Atlanta - Phoenix","Little Rock","Oklahoma City",2,2,3
"Atlanta - Phoenix","Oklahoma City","Santa Fe",3,4,4
"Atlanta - Phoenix","Santa Fe","Phoenix",3,4,5
"Atlanta - Pittsburgh","Atlanta","Raleigh",2,2,1
"Atlanta - Pittsburgh","Raleigh","Pittsburgh",2,2,2
"Atlanta - Portland","Atlanta","Nashville",1,1,1
"Atlanta - Portland","Nashville","Saint Louis",2,2,2
"Atlanta - Portland","Saint Louis","Kansas City",2,2,3
"Atlanta - Portland","Kansas City","Omaha",1,1,4
"Atlanta - Portland","Omaha","Helena",5,10,5
"Atlanta - Portland","Helena","Seattle",6,15,6
"Atlanta - Portland","Seattle","Portland",1,1,7
"Atlanta - Raleigh","Atlanta","Raleigh",2,2,1
"Atlanta - Saint Louis","Atlanta","Nashville",1,1,1
"Atlanta - Saint Louis","Nashville","Saint Louis",2,2,2
"Atlanta - Salt Lake City","Atlanta","Nashville",1,1,1
"Atlanta - Salt Lake City","Nashville","Saint Louis",2,2,2
"Atlanta - Salt Lake City","Saint Louis","Kansas City",2,2,3
"Atlanta - Salt Lake City","Kansas City","Denver",4,7,4
"Atlanta - Salt Lake City","Denver","Salt Lake City",3,4,5
"Atlanta - San Francisco","Atlanta","Nashville",1,1,1
"Atlanta - San Francisco","Nashville","Saint Louis",2,2,2
"Atlanta - San Francisco","Saint Louis","Kansas City",2,2,3
"Atlanta - San Francisco","Kansas City","Denver",4,7,4
"Atlanta - San Francisco","Denver","Salt Lake City",3,4,5
"Atlanta - San Francisco","Salt Lake City","San Francisco",5,10,6
"Atlanta - Santa Fe","Atlanta","Nashville",1,1,1
"Atlanta - Santa Fe","Nashville","Little Rock",3,4,2
"Atlanta - Santa Fe","Little Rock","Oklahoma City",2,2,3
"Atlanta - Santa Fe","Oklahoma City","Santa Fe",3,4,4
"Atlanta - Sault St. Marie","Atlanta","Raleigh",2,2,1
"Atlanta - Sault St. Marie","Raleigh","Pittsburgh",2,2,2
"Atlanta - Sault St. Marie","Pittsburgh","Toronto",2,2,3
"Atlanta - Sault St. Marie","Toronto","Sault St. Marie",2,2,4
"Atlanta - Seattle","Atlanta","Nashville",1,1,1
"Atlanta - Seattle","Nashville","Saint Louis",2,2,2
"Atlanta - Seattle","Saint Louis","Kansas City",2,2,3
"Atlanta - Seattle","Kansas City","Omaha",1,1,4
"Atlanta - Seattle","Omaha","Helena",5,10,5
"Atlanta - Seattle","Helena","Seattle",6,15,6
"Atlanta - Toronto","Atlanta","Raleigh",2,2,1
"Atlanta - Toronto","Raleigh","Pittsburgh",2,2,2
"Atlanta - Toronto","Pittsburgh","Toronto",2,2,3
"Atlanta - Vancouver","Atlanta","Nashville",1,1,1
"Atlanta - Vancouver","Nashville","Saint Louis",2,2,2
"Atlanta - Vancouver","Saint Louis","Kansas City",2,2,3
"Atlanta - Vancouver","Kansas City","Omaha",1,1,4
"Atlanta - Vancouver","Omaha","Helena",5,10,5
"Atlanta - Vancouver","Helena","Seattle",6,15,6
"Atlanta - Vancouver","Seattle","Vancouver",1,1,7
"Atlanta - Washington","Atlanta","Raleigh",2,2,1
"Atlanta - Washington","Raleigh","Washington",2,2,2
"Atlanta - Winnipeg","Atlanta","Nashville",1,1,1
"Atlanta - Winnipeg","Nashville","Saint Louis",2,2,2
"Atlanta - Winnipeg","Saint Louis","Chicago",2,2,3
"Atlanta - Winnipeg","Chicago","Duluth",3,4,4
"Atlanta - Winnipeg","Duluth","Winnipeg",4,7,5
"Boston - Calgary","Boston","Montreal",2,2,1
"Boston - Calgary","Montreal","Sault St. Marie",5,10,2
"Boston - Calgary","Sault St. Marie","Winnipeg",6,15,3
"Boston - Calgary","Winnipeg","Calgary",6,15,4
"Boston - Charleston","Boston","New York",2,2,1
"Boston - Charleston","New York","Pittsburgh",2,2,2
"Boston - Charleston","Pittsburgh","Raleigh",2,2,3
"Boston - Charleston","Raleigh","Charleston",2,2,4
"Boston - Chicago","Boston","New York",2,2,1
"Boston - Chicago","New York","Pittsburgh",2,2,2
"Boston - Chicago","Pittsburgh","Chicago",3,4,3
"Boston - Dallas","Boston","New York",2,2,1
"Boston - Dallas","New York","Pittsburgh",2,2,2
"Boston - Dallas","Pittsburgh","Saint Louis",5,10,3
"Boston - Dallas","Saint Louis","Little Rock",2,2,4
"Boston - Dallas","Little Rock","Dallas",2,2,5
"Boston - Denver","Boston","New York",2,2,1
"Boston - Denver","New York","Pittsburgh",2,2,2
"Boston - Denver","Pittsburgh","Saint Louis",5,10,3
"Boston - Denver","Saint Louis","Kansas City",2,2,4
"Boston - Denver","Kansas City","Denver",4,7,5
"Boston - Duluth","Boston","Montreal",2,2,1
"Boston - Duluth","Montreal","Sault St. Marie",5,10,2
"Boston - Duluth","Sault St. Marie","Duluth",3,4,3
"Boston - El Paso","Boston","New York",2,2,1
"Boston - El Paso","New York","Pittsburgh",2,2,2
"Boston - El Paso","Pittsburgh","Saint Louis",5,10,3
"Boston - El Paso","Saint Louis","Little Rock",2,2,4
"Boston - El Paso","Little Rock","Dallas",2,2,5
"Boston - El Paso","Dallas","El Paso",4,7,6
"Boston - Helena","Boston","Montreal",2,2,1
"Boston - Helena","Montreal","Sault St. Marie",5,10,2
"Boston - Helena","Sault St. Marie","Duluth",3,4,3
"Boston - Helena","Duluth","Helena",6,15,4
"Boston - Houston","Boston","New York",2,2,1
"Boston - Houston","New York","Pittsburgh",2,2,2
"Boston - Houston","Pittsburgh","Saint Louis",5,10,3
"Boston - Houston","Saint Louis","Little Rock",2,2,4
"Boston - Houston","Little Rock","Dallas",2,2,5
"Boston - Houston","Dallas","Houston",1,1,6
"Boston - Kansas City","Boston","New York",2,2,1
"Boston - Kansas City","New York","Pittsburgh",2,2,2
"Boston - Kansas City","Pittsburgh","Saint Louis",5,10,3
"Boston - Kansas City","Saint Louis","Kansas City",2,2,4
"Boston - Las Vegas","Boston","New York",2,2,1
"Boston - Las Vegas","New York","Pittsburgh",2,2,2
"Boston - Las Vegas","Pittsburgh","Saint Louis",5,10,3
"Boston - Las Vegas","Saint Louis","Kansas City",2,2,4
"Boston - Las Vegas","Kansas City","Denver",4,7,5
"Boston - Las Vegas","Denver","Salt Lake City",3,4,6
"Boston - Las Vegas","Salt Lake City","Las Vegas",3,4,7
"Boston - Little Rock","Boston","New York",2,2,1
"Boston - Little Rock","New York","Pittsburgh",2,2,2
"Boston - Little Rock","Pittsburgh","Saint Louis",5,10,3
"Boston - Little Rock","Saint Louis","Little Rock",2,2,4
"Boston - Los Angeles","Boston","New York",2,2,1
"Boston - Los Angeles","New York","Pittsburgh",2,2,2
"Boston - Los Angeles","Pittsburgh","Saint Louis",5,10,3
"Boston - Los Angeles","Saint Louis","Kansas City",2,2,4
"Boston - Los Angeles","Kansas City","Oklahoma City",2,2,5
"Boston - Los Angeles","Oklahoma City","Santa Fe",3,4,6
"Boston - Los Angeles","Santa Fe","Phoenix",3,4,7
"Boston - Los Angeles","Phoenix","Los Angeles",3,4,8
"Boston - Miami","Boston","New York",2,2,1
"Boston - Miami","New York","Pittsburgh",2,2,2
"Boston - Miami","Pittsburgh","Raleigh",2,2,3
"Boston - Miami","Raleigh","Charleston",2,2,4
"Boston - Miami","Charleston","Miami",4,7,5
"Boston - Montreal","Boston","Montreal",2,2,1
"Boston - Nashville","Boston","New York",2,2,1
"Boston - Nashville","New York","Pittsburgh",2,2,2
"Boston - Nashville","Pittsburgh","Nashville",4,7,3
"Boston - New Orleans","Boston","New York",2,2,1
"Boston - New Orleans","New York","Pittsburgh",2,2,2
"Boston - New Orleans","Pittsburgh","Raleigh",2,2,3
"Boston - New Orleans","Raleigh","Atlanta",2,2,4
"Boston - New Orleans","Atlanta","New Orleans",4,7,5
"Boston - New York","Boston","New York",2,2,1
"Boston - Oklahoma City","Boston","New York",2,2,1
"Boston - Oklahoma City","New York","Pittsburgh",2,2,2
"Boston - Oklahoma City","Pittsburgh","Saint Louis",5,10,3
"Boston - Oklahoma City","Saint Louis","Kansas City",2,2,4
"Boston - Oklahoma City","Kansas City","Oklahoma City",2,2,5
"Boston - Omaha","Boston","New York",2,2,1
"Boston - Omaha","New York","Pittsburgh",2,2,2
"Boston - Omaha","Pittsburgh","Chicago",3,4,3
"Boston - Omaha","Chicago","Omaha",4,7,4
"Boston - Phoenix","Boston","New York",2,2,1
"Boston - Phoenix","New York","Pittsburgh",2,2,2
"Boston - Phoenix","Pittsburgh","Saint Louis",5,10,3
"Boston - Phoenix","Saint Louis","Kansas City",2,2,4
"Boston - Phoenix","Kansas City","Oklahoma City",2,2,5
"Boston - Phoenix","Oklahoma City","Santa Fe",3,4,6
"Boston - Phoenix","Santa Fe","Phoenix",3,4,7
"Boston - Pittsburgh","Boston","New York",2,2,1
"Boston - Pittsburgh","New York","Pittsburgh",2,2,2
"Boston - Portland","Boston","Montreal",2,2,1
"Boston - Portland","Montreal","Sault St. Marie",5,10,2
"Boston - Portland","Sault St. Marie","Duluth",3,4,3
"Boston - Portland","Duluth","Helena",6,15,4
"Boston - Portland","Helena","Seattle",6,15,5
"Boston - Portland","Seattle","Portland",1,1,6
"Boston - Raleigh","Boston","New York",2,2,1
"Boston - Raleigh","New York","Pittsburgh",2,2,2
"Boston - Raleigh","Pittsburgh","Raleigh",2,2,3
"Boston - Saint Louis","Boston","New York",2,2,1
"Boston - Saint Louis","New York","Pittsburgh",2,2,2
"Boston - Saint Louis","Pittsburgh","Saint Louis",5,10,3
"Boston - Salt Lake City","Boston","New York",2,2,1
"Boston - Salt Lake City","New York","Pittsburgh",2,2,2
"Boston - Salt Lake City","Pittsburgh","Saint Louis",5,10,3
"Boston - Salt Lake City","Saint Louis","Kansas City",2,2,4
"Boston - Salt Lake City","Kansas City","Denver",4,7,5
"Boston - Salt Lake City","Denver","Salt Lake City",3,4,6
"Boston - San Francisco","Boston","New York",2,2,1
"Boston - San Francisco","New York","Pittsburgh",2,2,2
"Boston - San Francisco","Pittsburgh","Saint Louis",5,10,3
"Boston - San Francisco","Saint Louis","Kansas City",2,2,4
"Boston - San Francisco","Kansas City","Denver",4,7,5
"Boston - San Francisco","Denver","Salt Lake City",3,4,6
"Boston - San Francisco","Salt Lake City","San Francisco",5,10,7
"Boston - Santa Fe","Boston","New York",2,2,1
"Boston - Santa Fe","New York","Pittsburgh",2,2,2
"Boston - Santa Fe","Pittsburgh","Saint Louis",5,10,3
"Boston - Santa Fe","Saint Louis","Kansas City",2,2,4
"Boston - Santa Fe","Kansas City","Oklahoma City",2,2,5
"Boston - Santa Fe","Oklahoma City","Santa Fe",3,4,6
"Boston - Sault St. Marie","Boston","Montreal",2,2,1
"Boston - Sault St. Marie","Montreal","Sault St. Marie",5,10,2
"Boston - Seattle","Boston","Montreal",2,2,1
"Boston - Seattle","Montreal","Sault St. Marie",5,10,2
"Boston - Seattle","Sault St. Marie","Duluth",3,4,3
"Boston - Seattle","Duluth","Helena",6,15,4
"Boston - Seattle","Helena","Seattle",6,15,5
"Boston - Toronto","Boston","Montreal",2,2,1
"Boston - Toronto","Montreal","Toronto",3,4,2
"Boston - Vancouver","Boston","Montreal",2,2,1
"Boston - Vancouver","Montreal","Sault St. Marie",5,10,2
"Boston - Vancouver","Sault St. Marie","Winnipeg",6,15,3
"Boston - Vancouver","Winnipeg","Calgary",6,15,4
"Boston - Vancouver","Calgary","Vancouver",3,4,5
"Boston - Washington","Boston","New York",2,2,1
"Boston - Washington","New York","Washington",2,2,2
"Boston - Winnipeg","Boston","Montreal",2,2,1
"Boston - Winnipeg","Montreal","Sault St. Marie",5,10,2
"Boston - Winnipeg","Sault St. Marie","Winnipeg",6,15,3
"Calgary - Charleston","Calgary","Helena",4,7,1
"Calgary - Charleston","Helena","Omaha",5,10,2
"Calgary - Charleston","Omaha","Kansas City",1,1,3
"Calgary - Charleston","Kansas City","Saint Louis",2,2,4
"Calgary - Charleston","Saint Louis","Nashville",2,2,5
"Calgary - Charleston","Nashville","Atlanta",1,1,6
"Calgary - Charleston","Atlanta","Charleston",2,2,7
"Calgary - Chicago","Calgary","Helena",4,7,1
"Calgary - Chicago","Helena","Duluth",6,15,2
"Calgary - Chicago","Duluth","Chicago",3,4,3
"Calgary - Dallas","Calgary","Helena",4,7,1
"Calgary - Dallas","Helena","Denver",4,7,2
"Calgary - Dallas","Denver","Oklahoma City",4,7,3
"Calgary - Dallas","Oklahoma City","Dallas",2,2,4
"Calgary - Denver","Calgary","Helena",4,7,1
"Calgary - Denver","Helena","Denver",4,7,2
"Calgary - Duluth","Calgary","Helena",4,7,1
"Calgary - Duluth","Helena","Duluth",6,15,2
"Calgary - El Paso","Calgary","Helena",4,7,1
